"","pressure","wind"
"1",989.754462859952,83.8266857823723
"2",976.909094633865,108.746051981474
"3",947.828636443182,127.770211663307
"4",936.990373033086,144.450183039177
"5",939.103333799767,135.810293055499
"6",982.752931101339,101.279030464378
"7",970.078295150926,91.5431299217163
"8",957.121332590107,112.741304327541
"9",977.909405362003,75.9632474186008
"10",957.680858025567,93.8346761928541
"11",966.272419516249,88.6944261356553
"12",957.196350208494,106.081873316405
"13",929.329335885753,115.494712691727
"14",997.207613168697,78.8825474044538
"15",941.52960233791,131.323792746569
"16",1001.04683639552,77.7630276817534
"17",951.494733518547,101.615306002483
"18",972.088629699542,90.861925075363
"19",952.725563565232,100.243879563776
"20",945.601583221159,110.104127862506
"21",942.504338059886,127.228175584991
"22",937.448357961868,131.000840254184
"23",921.07229674019,153.094628661466
"24",932.586894149954,135.77836559361
"25",980.082146782009,112.549373178155
"26",990.721097355153,99.6046065271938
"27",1010.69029178859,75.6524663418399
"28",933.916924790663,144.928945864345
"29",952.92941524917,121.325233446067
"30",953.219080778787,107.049758250909
"31",979.363052070625,95.2369643676839
"32",942.171444439525,118.011598533975
"33",995.36308249408,81.4532183724893
"34",922.733769696381,141.831018363979
"35",963.505729182206,104.025549142409
"36",960.105986027418,117.483075066594
"37",912.526744764667,128.560399455664
"38",987.727365123756,96.098255614212
"39",972.636252491608,77.1201100047174
"40",946.190504945694,108.584331475467
"41",942,72
"42",948,73
